seed,method,field,relative_l2,mae,max_absolute_error,mean_aligned_relative_l2
1,Adam + ConFIG,u,0.03588900283199777,0.022640307550376316,0.18571814784270657,
1,Adam + ConFIG,v,0.12559839680452156,0.025776799191124484,0.16387765814842778,
1,Adam + ConFIG,p,1.0551093447677435,0.13737581482520914,0.26632136061682643,0.21024339093092712
