Method,Field,Relative L2,MAE,Max Absolute Error,Mean-aligned Relative L2
Adam Simple-Sum,u,0.05721784138414157,0.031171066727061422,0.4113947067940338,
Adam Simple-Sum,v,0.16270610885101178,0.0315793192063253,0.17413802068271889,
Adam Simple-Sum,p,7.1155869547415245,0.9442401050300279,1.168361211320341,0.3542438375493706
Adam + ConFIG,u,0.043878187420163174,0.026559051568118754,0.28116188615108295,
Adam + ConFIG,v,0.1676161874866696,0.03347574513434147,0.17770458381214393,
Adam + ConFIG,p,0.9637125274880243,0.1209507748648492,0.42398091404238686,0.3166940870271749
