seed,metric,adam,config,config_improvement_percent
0,u_relative_l2,0.05721784138414157,0.043878187420163174,23.313801501913353
0,v_relative_l2,0.16270610885101178,0.1676161874866696,-3.0177592410829037
0,p_raw_relative_l2,7.1155869547415245,0.9637125274880243,86.4563171862323
0,p_mean_aligned_relative_l2,0.3542438375493706,0.3166940870271749,10.599972827180784
1,u_relative_l2,0.03896520551343676,0.03588900283199777,7.894742606652469
1,v_relative_l2,0.13543946709825236,0.12559839680452156,7.266028510428023
1,p_raw_relative_l2,0.7553704031710803,1.0551093447677435,-39.681054531438505
1,p_mean_aligned_relative_l2,0.2709440779319255,0.21024339093092712,22.403400533540864
2,u_relative_l2,0.034428247678739046,0.032932008980064646,4.345962398772892
2,v_relative_l2,0.12456131614376795,0.12625243056728178,-1.3576561936467935
2,p_raw_relative_l2,18.037846608562802,10.279162064669837,43.013363580826855
2,p_mean_aligned_relative_l2,0.21295934928612545,0.17672574679459108,17.014328139616943
