seed,method,field,relative_l2,mae,max_absolute_error,mean_aligned_relative_l2
2,Adam + ConFIG,u,0.032932008980064646,0.021760301779053713,0.2374934576779104,
2,Adam + ConFIG,v,0.12625243056728178,0.024223195897589665,0.19350934004738957,
2,Adam + ConFIG,p,10.279162064669837,1.3655389448613802,1.4608904674799086,0.17672574679459108
